127.0.0.1 - - [17/Nov/2022:09:04:21 +0900] "GET / HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/dist/img/user8-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/dist/img/AdminLTELogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/dist/img/user3-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/dist/img/user1-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/dist/img/user2-160x160.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /book/list HTTP/1.1" 200 44732
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/sparklines/sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:09:04:44 +0900] "GET /resources/adminlte/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 304 -
