127.0.0.1 - - [23/Nov/2022:08:59:10 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /book/list HTTP/1.1" 200 45649
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/dist/img/user1-128x128.jpg HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/dist/img/user8-128x128.jpg HTTP/1.1" 200 4983
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/dist/img/AdminLTELogo.png HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/dist/img/user3-128x128.jpg HTTP/1.1" 200 3398
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [23/Nov/2022:08:59:11 +0900] "GET /resources/adminlte/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
